Sketch: F:\Mes documents\GitHub\Line_Folower_PID\TestRobot, 2014-08-27 13:54:27.947
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
RedefinedLocal,{controller},Duplicate local variable controller
RedefinedLocal,{tmpIndex},Duplicate local variable tmpIndex
UnterminatedString,{},String literal is not properly closed by a double-quote
ParsingErrorDeleteToken,{)},Syntax error on token ")"^ delete this token
ParsingErrorInvalidToken,{)| (},Syntax error on token ")"^ invalid (
ParsingError,{+| ++},Syntax error on token "+"^ ++ expected
ParsingErrorDeleteToken,{/},Syntax error on token "/"^ delete this token
ParsingErrorDeleteToken,{0.1},Syntax error on token "0.1"^ delete this token
ParsingErrorInsertTokenAfter,{=| VariableInitializer},Syntax error on token "="^ VariableInitializer expected after this token
ParsingErrorReplaceTokens,{(},Syntax error on tokens^ ( expected instead
ParsingErrorMisplacedConstruct,{},Syntax error on token(s)^ misplaced construct(s)
ParsingErrorInsertToComplete,{)| Expression},Syntax error^ insert ")" to complete Expression
ParsingErrorInsertToComplete,{)| MethodInvocation},Syntax error^ insert ")" to complete MethodInvocation
ParsingErrorInsertToComplete,{;| BlockStatements},Syntax error^ insert ";" to complete BlockStatements
ParsingErrorInsertToComplete,{;| Statement},Syntax error^ insert ";" to complete Statement
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Assignment},Syntax error^ insert "AssignmentOperator Expression" to complete Assignment
ParsingErrorInsertToComplete,{AssignmentOperator Expression| Expression},Syntax error^ insert "AssignmentOperator Expression" to complete Expression
ParsingErrorInsertToComplete,{}| ClassBody},Syntax error^ insert "}" to complete ClassBody
UninitializedLocalVariable,{controller},The local variable controller may not have been initialized
UndefinedMethod,{TestRobot.TestRobot| imageDisplay| },The method imageDisplay() is undefined for the type TestRobot
UnresolvedVariable,{m},m cannot be resolved to a variable
UnresolvedVariable,{my},my cannot be resolved to a variable
UnresolvedVariable,{myI},myI cannot be resolved to a variable
UnresolvedVariable,{myimag},myimag cannot be resolved to a variable
UnresolvedVariable,{myimage},myimage cannot be resolved to a variable
UnresolvedVariable,{mymage},mymage cannot be resolved to a variable
UnresolvedVariable,{output},output cannot be resolved to a variable
UndefinedType,{p},p cannot be resolved to a type
UndefinedType,{pri},pri cannot be resolved to a type
UndefinedType,{print},print cannot be resolved to a type
UndefinedType,{printl},printl cannot be resolved to a type
UndefinedType,{println},println cannot be resolved to a type
UnresolvedVariable,{test},test cannot be resolved to a variable
